isbn,title,author,publisher,price,wholesaler_name,purchase_type,quantity,unit_cost,received_date,consignment_deadline
'9788809320819,ふくろうと空とぶ本のものがたり,遠藤一郎,銀河出版社,1300,大阪屋栗田,買切,10,886,2026-04-23,
'9788766344002,記憶の中の橋の地図,西村美咲,蒼穹書房,920,地方・小出版流通センター,委託,18,643,2026-07-10,2026-10-29
'9787178472679,感染症の謎,村上湊,朝霧出版,1130,日販,買切,15,776,2026-07-04,
'9789331908452,深夜の坂道の迷宮,小林結衣,銀河舎,740,地方・小出版流通センター,買切,20,541,2026-05-11,
'9784162294866,毎日の常備菜レシピ,岡田一郎,青葉出版社,1230,大阪屋栗田,買切,1,742,2026-05-15,
'9785475177990,飛騨高山紀行 写真集,遠藤大輔,満月舎,3090,日販,買切,2,1944,2026-06-22,
'9780807370285,サブスク経営の教科書,近藤翔太,銀河舎,1660,日販,買切,6,1081,2026-06-11,
'9787764725875,常備菜のコツ,井上楓,清流出版,1200,日販,委託,11,793,2026-04-20,2026-05-26
'9785258983190,ペンギンと秘密の地図のものがたり,藤井杏,朝霧出版,1060,大阪屋栗田,買切,14,663,2026-04-18,
'9780521854917,生成AI活用の教科書,斎藤湊,朝霧出版社,1400,日販,買切,1,905,2026-07-02,
'9788955799064,できる人の行動心理学,藤田陽子,翠嵐出版社,1830,大阪屋栗田,買切,12,1113,2026-05-20,
'9780454146592,脳科学の謎,吉田陽子,満月舎,920,日販,買切,17,600,2026-04-23,
'9784069256660,ロジカルシンキング大全,三浦太郎,銀河出版社,1750,地方・小出版流通センター,委託,5,1109,2026-07-12,2026-12-11
'9786452912801,針と糸の魔女 第9巻,橋本凛,翠嵐館,650,日販,買切,8,435,2026-06-16,
'9788265384530,今日からできるスパイスカレー,柴田蒼太,丘上出版社,1320,トーハン,買切,5,888,2026-07-14,
'9785860214583,きつねと魔法のスープの冒険,柴田凛,丘上出版社,1360,日販,委託,13,925,2026-05-09,2026-07-18
'9788112658449,見えない約束の地図,小林真央,銀河出版,720,日販,委託,16,533,2026-05-30,2026-11-13
'9782802582205,FP技能検定2級 完全対策,風間 綴,銀河舎,1790,トーハン,買切,11,1204,2026-07-05,
'9786494157710,鉄輪のワルツ 第12巻,前田蒼,青葉出版社,460,日販,委託,10,294,2026-04-21,2026-08-12
'9786885576526,記憶の中の旅の肖像,前田蒼太,朝霧出版社,840,トーハン,買切,19,586,2026-06-28,
'9786451547424,百鬼夜行堂 第8巻,中村蒼太,清流出版社,530,地方・小出版流通センター,買切,13,319,2026-06-02,
'9786517883657,放課後のミステリー 第13巻,斎藤涼,朝霧出版,540,地方・小出版流通センター,委託,16,392,2026-05-14,2026-06-22
'9783145037841,潮騒ノート 第3巻,山田蒼太,白鷺出版,480,大阪屋栗田,委託,15,302,2026-04-19,2026-08-06
'9781968982102,3分でわかるロジカルシンキング,青木さくら,銀河出版社,1820,大阪屋栗田,買切,11,1257,2026-06-12,
